Page_Title,Primary_Keyword,Secondary_Keywords_Entities,Intent,Funnel,Parent_Pillar,Cluster,Suggested_URL,Format,Internal_Links_In,Internal_Links_Out,Conversion_Opportunity,EEAT_Requirement,Disposition,Priority,Publish_Wave
Retirement Communities in Panama: What Exists and What It Costs,retirement homes in panama central america,retirement villages in panama; senior living in panama; panama retirement communities,Commercial,MOF,Retirement,Communities,/buying/panama-retirement-communities,Directory + honest review,Retirement pillar; best places; area hubs,Project pages; area hubs,Direct inquiry form per community,Visit and photograph each; publish real monthly fees; CPC $2.15 justifies the effort,Improve (/buying/panama-retirement-communities — pos 49-76) [v2 URL live],P0,Wave 1
Panama Residency Visas: Which One You Actually Qualify For,panama residency visa,friendly nations visa; qualified investor visa; panama golden visa,Informational,MOF,ROOT,Residency,/residency/panama-residency-guide,Pillar + eligibility quiz,Home; retirement; moving; buying pillars,Pensionado; friendly nations; investor visa,Eligibility quiz -> consultation,Immigration attorney reviewer; cite Servicio Nacional de Migración decrees with dates,"Create [cannot be /residency: that is the category index template, not an article]",P0,Wave 1
"The Panama Pensionado Visa: Requirements, Cost and Real Timeline",panama retirement visa,pensionado visa panama; panama pensionado program; panama pensionado visa requirements,Informational,MOF,Residency,Pensionado,/residency/panama-pensionado-visa,Guide + document checklist,Residency pillar; retirement pillar,Residency pillar; banking; apostille,Document-checklist download + attorney intro,"Immigration attorney reviewer; cite Decreto Ley 16 / Migración; state the $1,000/mo income floor with source and date",Create,P0,Wave 1
Friendly Nations Visa 2026: Who Still Qualifies,friendly nations visa panama,panama friendly nations; economic solvency; 50 countries list,Informational,MOF,Residency,Friendly Nations,/residency/friendly-nations-2026,Guide + country list,Residency pillar; buying pillar,Residency pillar; buying pillar,Attorney intro CTA,Immigration attorney reviewer; cite Decreto Ejecutivo 197 (2021) with retrieval date,Improve (/residency/friendly-nations-2026) [v2 URL live],P1,Wave 2
Living in Panama: What Daily Life Actually Looks Like,living in panama,living in panama as an expat; americans living in panama; is panama a good place to live,Informational,TOF,ROOT,Living,/living/living-in-panama,Pillar,Home; all other pillars,Cost of living; healthcare; safety; schools; banking; areas,Newsletter CTA,First-hand author; original photography; no stock imagery,"Create (consolidate several) [cannot be /living: that is the category index template, not an article]",P0,Wave 1
Best Places to Live in Panama,best places to live in panama,where to live in panama; best place to live in panama for expats; where to live in panama as an expat,Commercial,MOF,Living,Comparison,/buying/best-neighborhoods-panama-city-expats,Comparison table + area cards,Living pillar; retirement pillar; home,All area hubs,Area-page handoff,First-hand visits; dated price and climate data,"Improve (/buying/best-neighborhoods-panama-city-expats — pos 67-90 for KD 3-9 terms) [v2 URL live, but sits under buying not living]",P0,Wave 1
Expat Communities in Panama: Where People Actually Cluster,expat communities in panama,expatriate communities in panama; panama city expat community,Informational,TOF,Living,Communities,/living/panama-expat-communities,Guide + map,Living pillar; best places; area hubs,Area hubs,Newsletter CTA,"First-hand: name the actual groups, meetups and clubs",Create,P1,Wave 2
Cost of Living in Panama 2026,panama cost of living,panama cost of living vs us; living in panama cost,Informational,TOF,Living,Money,/money/panama-cost-of-living-2026,Guide + budget calculator,Living; retirement; moving pillars,All area hubs; healthcare,Budget calculator + newsletter,Original monthly basket priced in-country with receipts; update quarterly with dated changelog,Improve (/money/panama-cost-of-living-2026) [v2 URL live],P0,Wave 1
"Healthcare in Panama: Costs, Quality and Insurance",panama healthcare costs,panama health insurance; hospital punta pacifica; private insurance panama,Informational,TOF,Living,Healthcare,/living/panama-healthcare-costs-2026,Guide + cost table,Living; retirement pillars,Cost of living; insurance,Insurance-broker intro CTA,Cite MINSA / hospital published rates with dates; interview a Panama insurance broker,Improve [v2 URL live],P1,Wave 2
Is Panama Safe? What the Crime Data Actually Says,is panama safe,safety in panama; panama crime rate; safest places in panama,Informational,TOF,Living,Safety,/living/safety-in-panama-2026-real-data-rumors,Data-led guide + neighborhood map,Living; retirement pillars; area hubs,Area hubs,Newsletter CTA,Cite Ministerio de Seguridad Pública / SIEC statistics with year; avoid anecdote-only claims,Improve (/living/safety-in-panama-2026-real-data-rumors) [v2 URL live],P1,Wave 2
Banking in Panama as a Non-Resident,open bank account in panama for foreigners,panama banking non residents; u.s. credit score accepted in panama banks,Informational,MOF,Living,Money,/money/panama-banking-non-residents-guide,Guide + bank comparison,Living; buying; residency pillars,Financing; residency,Bank-intro consultation,Cite Superintendencia de Bancos; note FATCA/CRS reporting honestly,Improve (/money/panama-banking-non-residents-guide) [v2 URL live],P1,Wave 2
Moving to Panama: The Logistics,moving to panama,moving to panama central america; what to pack moving to panama; shipping container panama,Informational,TOF,ROOT,Moving,/living/moving-to-panama,Pillar + timeline checklist,Home; living; retirement pillars,Pets; shipping; drivers license; residency,Moving checklist download,First-hand: document one real move with costs and dates,Improve (consolidate),P1,Wave 2
Moving to Panama With Pets,moving to panama with pets,panama pet import requirements; MIDA; import permit; quarantine,Informational,TOF,Moving,Pets,/living/moving-to-panama-with-pets,Procedural guide + form links,Moving pillar,Moving pillar,Newsletter CTA,"Cite MIDA import requirements with retrieval date — this page already earns 1,824 impressions at pos 7.9 and converts at 0.05%; the fix is the title and intro, not the topic",Improve [v2 URL live],P0,Wave 1
Panama City Real Estate and Neighborhoods,panama city panama real estate,real estate panama city panama; panama city neighborhoods; living in panama city panama,Commercial,MOF,ROOT,Areas,/areas/panama-city,Area hub,Home; all pillars; project pages,Neighborhood children; project pages; renting,Area inquiry form,First-hand photography; dated $/m² by neighborhood from ACOBIR or own transaction data,Create [BLOCKED: no panama-city row in airtable.json; areas are sync-driven],P0,Wave 1
"Coronado Real Estate: Prices, Communities and the Honest Trade-offs",real estate coronado panama,coronado panama homes for sale; panama realtor coronado; coronado panama real estate for sale,Commercial,MOF,Areas,Coronado,/areas/coronado,Area hub,Home; buying; retirement pillars,Project pages; buying pillar,Area inquiry form,First-hand visit; KD 0-6 across the cluster — fastest area win on the site,Improve (/buying/coronado-real-estate-guide) [BLOCKED: no coronado row in airtable.json; areas are sync-driven],P0,Wave 1
"Boquete Real Estate: Prices, Microclimates and What $300K Buys",boquete panama real estate,boquete real estate investment; boquete panama homes,Commercial,MOF,Areas,Boquete,/areas/boquete,Area hub,Home; retirement pillar; project pages,Project pages; buying pillar,Area inquiry form,Already at GSC pos 7.3 with 593 impressions — best-performing page on the site; deepen it,Improve (consolidate 2 Boquete pages) [v2 URL live],P0,Wave 1
Costa del Este Real Estate,costa del este panama real estate,costa del este condos; costa del este living,Commercial,MOF,Areas,Costa del Este,/areas/costa-del-este,Area hub,Home; Panama City hub,Project pages,Area inquiry form,KD 2 — immediate win; first-hand photography,Improve (/areas/costa-del-este) [v2 URL live],P0,Wave 1
Bocas del Toro Real Estate: Titled Land Warnings and Real Prices,bocas del toro real estate,bocas del toro property; red frog beach; island property panama,Commercial,MOF,Areas,Bocas del Toro,/areas/bocas-del-toro,Area hub,Home; buying pillar; titled-vs-ROP,Titled vs ROP; project pages,Area inquiry form,Critical: this is the highest ROP-risk market in Panama. Leading with that honesty is the differentiator,Improve [v2 URL live],P1,Wave 2
Pedasí and the Azuero Coast,pedasi panama real estate,pedasi property; playa venao real estate; azuero peninsula,Commercial,MOF,Areas,Azuero,/areas/pedasi,Area hub,Home; buying pillar,Project pages,Area inquiry form,First-hand visit; consolidate 3 thin existing pages,Improve (consolidate) [BLOCKED: no pedasi row in airtable.json; areas are sync-driven],P2,Wave 3
Panama vs Costa Rica for Retirement,retire in panama vs costa rica,panama vs costa rica retirement; costa rica for retirement,Informational/Commercial,MOF,ROOT,Comparison,/living/panama-vs-costa-rica-retirement,Comparison table + verdict,Retirement; living pillars,Retirement pillar; cost of living,Newsletter CTA,KD 4. The German translation currently outranks the English original — fix by de-indexing /de/,Improve [v2 URL live; no /compare/ route in v2],P0,Wave 1
Panama vs Mexico / Colombia / Belize / Portugal for Retirement,panama vs mexico retirement,panama vs colombia retirement; panama vs belize retirement; panama vs portugal retirement,Informational,MOF,Comparison,Comparison,/living/panama-vs-{country}-retirement,Comparison series (4 pages),Comparison hub; retirement pillar,Retirement pillar,Newsletter CTA,Dated cost and visa data for both countries; disclose which one the author has lived in,"Improve (4 existing) [6 live: belize, colombia, costa-rica, mexico, portugal, spain]",P2,Wave 3
Panama Property Price Index (Quarterly),panama real estate prices,panama property prices per m2; panama real estate market 2026,Informational,TOF,ROOT,Original Research,/buying/panama-property-price-index,Original data asset + charts,Every pillar and area hub,All area hubs,Newsletter + data-request CTA,"THE linkable asset. Publish methodology, sample size, and raw data. Source from ACOBIR/Public Registry filings plus own transactions. Update quarterly.",Create [no /research/ route in v2],P1,Wave 2
Panama Rental Yield Study,panama rental yields,panama investment property returns; airbnb panama returns,Informational,MOF,Original Research,Investment,/buying/panama-rental-yields,Original data asset,Investment cluster; area hubs,Area hubs; buying pillar,Investor consultation CTA,Publish real gross and net yields with the cost assumptions shown; name the buildings sampled,Improve (/buying/panama-real-estate-investment-lifestyle-2026 is currently a stub) [no /research/ route in v2],P2,Wave 3
Panama Closing Cost Calculator,panama closing costs calculator,panama property purchase costs,Transactional,BOF,Tools,Tools,/buying/panama-closing-costs,Interactive tool,Buying pillar; closing costs; all area hubs,Buying pillar; consultation,Result-triggered consultation CTA,Show the formula and cite each rate to DGI with a date,Create [MERGED into the closing-costs guide; no /tools/ route in v2],P1,Wave 2
Panama Residency Eligibility Quiz,panama residency eligibility,which panama visa do i qualify for,Transactional,BOF,Tools,Tools,/residency/panama-residency-guide,Interactive tool,Residency pillar; retirement pillar,Residency children,Direct attorney-intro lead capture,Attorney-reviewed logic; state that output is not legal advice,Create [MERGED into the residency pillar; no /tools/ route in v2],P2,Wave 3
Project pages (13 developments),{project name} panama,{project} prices; {project} floor plans; {developer name},Commercial,BOF,ROOT,Projects,/projects/{slug},Project template,Area hubs; buying pillar; home,Area hub; buying pillar,Primary lead form — direct inquiry,First-hand photography and site visits; verified current pricing with date; developer registration status; honest drawbacks section,Improve (all 31 are thin) [31 live],P1,Wave 2
